ReconDate,BizID,Amount,PremiumID,AllocatedAmount,PaymentIDs_Used,Status,Shortfall
2025-12-31,4450,1200.0,PREM_00073,1200.0,PAY_00039,Fully Paid,0.0
2025-12-31,10310,1200.0,PREM_00074,1200.0,PAY_00114,Fully Paid,0.0
2025-12-31,21979,1200.0,PREM_00075,0.0,,Unpaid,1200.0
2025-12-31,20012026,1200.0,PREM_00076,1200.0,PAY_00126,Fully Paid,0.0
2025-12-31,20017223,1200.0,PREM_00077,1200.0,PAY_00198,Fully Paid,0.0
2025-11-30,20017526,1200.0,PREM_00078,1200.0,PAY_00130,Fully Paid,0.0
2025-12-31,20023111,1200.0,PREM_00079,1200.0,PAY_00104,Fully Paid,0.0
2025-12-31,20023705,1200.0,PREM_00080,1200.0,PAY_00204,Fully Paid,0.0
2025-12-31,20026274,1200.0,PREM_00081,1200.0,PAY_00142,Fully Paid,0.0
2026-01-31,20011890,4800.0,PREM_00082,0.0,,Unpaid,4800.0
2026-01-31,20001720,2400.0,PREM_00083,2400.0,PAY_00164,Fully Paid,0.0
2026-01-31,20002919,2400.0,PREM_00084,2400.0,PAY_00212,Fully Paid,0.0
2026-01-31,20003547,2400.0,PREM_00085,2400.0,PAY_00085,Fully Paid,0.0
2026-01-31,20003790,2400.0,PREM_00086,2400.0,PAY_00215,Fully Paid,0.0
2026-01-31,20009958,2400.0,PREM_00087,0.0,,Unpaid,2400.0
2026-01-31,20013986,2400.0,PREM_00088,2400.0,PAY_00165,Fully Paid,0.0
2026-01-31,20014817,2400.0,PREM_00089,2400.0,PAY_00216,Fully Paid,0.0
2026-01-31,20017395,2400.0,PREM_00090,0.0,,Unpaid,2400.0
2026-01-31,20018760,2400.0,PREM_00091,2400.0,PAY_00087,Fully Paid,0.0
2026-01-31,20025245,2400.0,PREM_00092,0.0,,Unpaid,2400.0
2026-01-31,20028302,2400.0,PREM_00093,2400.0,PAY_00286,Fully Paid,0.0
2026-01-31,20032218,2400.0,PREM_00094,2400.0,PAY_00243,Fully Paid,0.0
2026-01-31,20033210,2400.0,PREM_00095,2400.0,PAY_00213,Fully Paid,0.0
2026-01-31,20034654,2400.0,PREM_00096,2400.0,PAY_00088,Fully Paid,0.0
2026-01-31,20036787,2400.0,PREM_00097,0.0,,Unpaid,2400.0
2026-01-31,2172,1620.0,PREM_00098,1620.0,PAY_00084,Fully Paid,0.0
2026-01-31,2015,1200.0,PREM_00099,0.0,,Unpaid,1200.0
2026-01-31,2159,1200.0,PREM_00100,0.0,,Unpaid,1200.0
2026-01-31,2162,1200.0,PREM_00101,0.0,,Unpaid,1200.0
2026-01-31,2239,1200.0,PREM_00102,0.0,,Unpaid,1200.0
2026-01-31,2403,1200.0,PREM_00103,1200.0,PAY_00058,Fully Paid,0.0
2026-01-31,2931,1200.0,PREM_00104,0.0,,Unpaid,1200.0
2026-01-31,3055,1200.0,PREM_00105,1200.0,PAY_00111,Fully Paid,0.0
2026-01-31,3528,1200.0,PREM_00106,1200.0,PAY_00086,Fully Paid,0.0
2026-01-31,3996,1200.0,PREM_00107,1200.0,PAY_00252,Fully Paid,0.0
2026-01-31,4413,1200.0,PREM_00108,1200.0,PAY_00062,Fully Paid,0.0
2026-01-31,4450,1200.0,PREM_00109,0.0,,Unpaid,1200.0
2026-01-31,4888,1200.0,PREM_00110,1200.0,PAY_00112,Fully Paid,0.0
2026-01-31,5537,1200.0,PREM_00111,0.0,,Unpaid,1200.0
2026-01-31,5991,1200.0,PREM_00112,1200.0,PAY_00298,Fully Paid,0.0
2026-01-31,6902,1200.0,PREM_00113,0.0,,Unpaid,1200.0
2026-01-31,7370,1200.0,PREM_00114,1200.0,PAY_00157,Fully Paid,0.0
2026-01-31,7371,1200.0,PREM_00115,1200.0,PAY_00253,Fully Paid,0.0
2026-01-31,7422,1200.0,PREM_00116,1200.0,PAY_00063,Fully Paid,0.0
2026-01-31,7423,1200.0,PREM_00117,1200.0,PAY_00113,Fully Paid,0.0
2026-01-31,7535,1200.0,PREM_00118,1200.0,PAY_00228,Fully Paid,0.0
2026-01-31,7554,1200.0,PREM_00119,1200.0,PAY_00299,Fully Paid,0.0
2026-01-31,7570,1200.0,PREM_00120,1200.0,PAY_00254,Fully Paid,0.0
2026-01-31,7638,1200.0,PREM_00121,1200.0,PAY_00178,Fully Paid,0.0
2026-01-31,7701,1200.0,PREM_00122,1200.0,PAY_00179,Fully Paid,0.0
2026-01-31,7710,1200.0,PREM_00123,1200.0,PAY_00107,Fully Paid,0.0
2026-01-31,7779,1200.0,PREM_00124,1200.0,PAY_00158,Fully Paid,0.0
2026-01-31,7814,1200.0,PREM_00125,1200.0,PAY_00060,Fully Paid,0.0
2026-01-31,9573,1200.0,PREM_00126,1200.0,PAY_00064,Fully Paid,0.0
2026-01-31,9835,1200.0,PREM_00127,1200.0,PAY_00300,Fully Paid,0.0
2026-01-31,10201,1200.0,PREM_00128,1200.0,PAY_00301,Fully Paid,0.0
2026-01-31,10276,1200.0,PREM_00129,0.0,,Unpaid,1200.0
2026-01-31,10310,1200.0,PREM_00130,0.0,,Unpaid,1200.0
2026-01-31,10341,1200.0,PREM_00131,0.0,,Unpaid,1200.0
2026-01-31,10449,1200.0,PREM_00132,1200.0,PAY_00160,Fully Paid,0.0
2026-01-31,10471,1200.0,PREM_00133,1200.0,PAY_00180,Fully Paid,0.0
2026-01-31,10935,1200.0,PREM_00134,1200.0,PAY_00250,Fully Paid,0.0
2026-01-31,10971,1200.0,PREM_00135,1200.0,PAY_00065,Fully Paid,0.0
2026-01-31,11432,1200.0,PREM_00136,1200.0,PAY_00297,Fully Paid,0.0
2026-01-31,11773,1200.0,PREM_00137,1200.0,PAY_00181,Fully Paid,0.0
2026-01-31,12017,1200.0,PREM_00138,1200.0,PAY_00066,Fully Paid,0.0
2026-01-31,12148,1200.0,PREM_00139,1200.0,PAY_00057,Fully Paid,0.0
2026-01-31,12268,1200.0,PREM_00140,0.0,,Unpaid,1200.0
