BizID,Total_Premium,Total_Allocated,Total_Shortfall,Num_Premiums,Num_Paid,Num_Unpaid,Payment_Status
20005133,1200.0,1200.0,0.0,1,1,0,Fully Paid
20006310,1200.0,1200.0,0.0,1,1,0,Fully Paid
20006820,1200.0,1200.0,0.0,1,1,0,Fully Paid
20007012,1200.0,1200.0,0.0,1,1,0,Fully Paid
20019484,1200.0,1200.0,0.0,1,1,0,Fully Paid
20019128,1200.0,1200.0,0.0,1,1,0,Fully Paid
20015319,1200.0,1200.0,0.0,1,1,0,Fully Paid
20015322,1200.0,1200.0,0.0,1,1,0,Fully Paid
20014578,1200.0,1200.0,0.0,1,1,0,Fully Paid
20013279,1200.0,1200.0,0.0,1,1,0,Fully Paid
20013876,1200.0,1200.0,0.0,1,1,0,Fully Paid
20014326,1200.0,1200.0,0.0,1,1,0,Fully Paid
18002,1200.0,1200.0,0.0,1,1,0,Fully Paid
17819,1200.0,1200.0,0.0,1,1,0,Fully Paid
18616,1200.0,1200.0,0.0,1,1,0,Fully Paid
7371,1200.0,1200.0,0.0,1,1,0,Fully Paid
7535,1200.0,1200.0,0.0,1,1,0,Fully Paid
7554,1200.0,1200.0,0.0,1,1,0,Fully Paid
7423,1200.0,1200.0,0.0,1,1,0,Fully Paid
7422,1200.0,1200.0,0.0,1,1,0,Fully Paid
20002540,1200.0,1200.0,0.0,1,1,0,Fully Paid
20002724,1200.0,1200.0,0.0,1,1,0,Fully Paid
19144,1200.0,1200.0,0.0,1,1,0,Fully Paid
7370,1200.0,1200.0,0.0,1,1,0,Fully Paid
12268,1200.0,0.0,1200.0,1,0,1,Not Paid
12148,1200.0,1200.0,0.0,1,1,0,Fully Paid
12520,1200.0,1200.0,0.0,1,1,0,Fully Paid
12017,1200.0,1200.0,0.0,1,1,0,Fully Paid
5537,1200.0,0.0,1200.0,1,0,1,Not Paid
11432,1200.0,1200.0,0.0,1,1,0,Fully Paid
10971,1200.0,1200.0,0.0,1,1,0,Fully Paid
11773,1200.0,1200.0,0.0,1,1,0,Fully Paid
10935,1200.0,1200.0,0.0,1,1,0,Fully Paid
10201,1200.0,1200.0,0.0,1,1,0,Fully Paid
10449,1200.0,1200.0,0.0,1,1,0,Fully Paid
10471,1200.0,1200.0,0.0,1,1,0,Fully Paid
9573,1200.0,1200.0,0.0,1,1,0,Fully Paid
7814,1200.0,1200.0,0.0,1,1,0,Fully Paid
24038,1200.0,1200.0,0.0,1,1,0,Fully Paid
13363,1200.0,1200.0,0.0,1,1,0,Fully Paid
12916,1200.0,1200.0,0.0,1,1,0,Fully Paid
20032792,1200.0,0.0,1200.0,1,0,1,Not Paid
20032121,1200.0,1200.0,0.0,1,1,0,Fully Paid
20034667,1200.0,1200.0,0.0,1,1,0,Fully Paid
20017976,1200.0,1200.0,0.0,1,1,0,Fully Paid
20018092,1200.0,1200.0,0.0,1,1,0,Fully Paid
20017959,1200.0,0.0,1200.0,1,0,1,Not Paid
20018177,1200.0,1200.0,0.0,1,1,0,Fully Paid
20017683,1200.0,1200.0,0.0,1,1,0,Fully Paid
20017823,1200.0,1200.0,0.0,1,1,0,Fully Paid
20018993,1200.0,1200.0,0.0,1,1,0,Fully Paid
20018468,1200.0,1200.0,0.0,1,1,0,Fully Paid
20016563,1200.0,1200.0,0.0,1,1,0,Fully Paid
20016508,1200.0,1200.0,0.0,1,1,0,Fully Paid
20016443,1200.0,1200.0,0.0,1,1,0,Fully Paid
20016981,1200.0,1200.0,0.0,1,1,0,Fully Paid
20017114,1200.0,0.0,1200.0,1,0,1,Not Paid
20016660,1200.0,1200.0,0.0,1,1,0,Fully Paid
20017529,1200.0,1200.0,0.0,1,1,0,Fully Paid
20017295,1200.0,1200.0,0.0,1,1,0,Fully Paid
20024640,1200.0,1200.0,0.0,1,1,0,Fully Paid
20023605,1200.0,1200.0,0.0,1,1,0,Fully Paid
20023556,1200.0,1200.0,0.0,1,1,0,Fully Paid
20023720,1200.0,1200.0,0.0,1,1,0,Fully Paid
20023807,1200.0,1200.0,0.0,1,1,0,Fully Paid
20023869,1200.0,1200.0,0.0,1,1,0,Fully Paid
20020528,1200.0,1200.0,0.0,1,1,0,Fully Paid
20019716,1200.0,1200.0,0.0,1,1,0,Fully Paid
20033785,1200.0,1200.0,0.0,1,1,0,Fully Paid
20032987,1200.0,1200.0,0.0,1,1,0,Fully Paid
20026602,1200.0,1200.0,0.0,1,1,0,Fully Paid
20026746,1200.0,1200.0,0.0,1,1,0,Fully Paid
20026415,1200.0,1200.0,0.0,1,1,0,Fully Paid
20026074,1200.0,1200.0,0.0,1,1,0,Fully Paid
20025987,1200.0,0.0,1200.0,1,0,1,Not Paid
20026593,1200.0,1200.0,0.0,1,1,0,Fully Paid
20029858,1200.0,1200.0,0.0,1,1,0,Fully Paid
20030171,1200.0,1200.0,0.0,1,1,0,Fully Paid
20029224,1200.0,0.0,1200.0,1,0,1,Not Paid
20028140,1200.0,1200.0,0.0,1,1,0,Fully Paid
20028386,1200.0,1200.0,0.0,1,1,0,Fully Paid
20028382,1200.0,1200.0,0.0,1,1,0,Fully Paid
20029169,1200.0,1200.0,0.0,1,1,0,Fully Paid
20027669,1200.0,1200.0,0.0,1,1,0,Fully Paid
20033207,1200.0,1200.0,0.0,1,1,0,Fully Paid
20033551,1200.0,1200.0,0.0,1,1,0,Fully Paid
20030753,1200.0,1200.0,0.0,1,1,0,Fully Paid
20030258,1200.0,1200.0,0.0,1,1,0,Fully Paid
20029513,1200.0,1200.0,0.0,1,1,0,Fully Paid
20030887,1200.0,1200.0,0.0,1,1,0,Fully Paid
20024609,1200.0,0.0,1200.0,1,0,1,Not Paid
20023719,1200.0,1200.0,0.0,1,1,0,Fully Paid
20021897,1200.0,1200.0,0.0,1,1,0,Fully Paid
20021015,1200.0,1200.0,0.0,1,1,0,Fully Paid
20022871,1200.0,1200.0,0.0,1,1,0,Fully Paid
20022490,1200.0,1200.0,0.0,1,1,0,Fully Paid
20023123,1200.0,1200.0,0.0,1,1,0,Fully Paid
20020853,1200.0,1200.0,0.0,1,1,0,Fully Paid
20019945,1200.0,1200.0,0.0,1,1,0,Fully Paid
20019718,1200.0,1200.0,0.0,1,1,0,Fully Paid
9835,1200.0,1200.0,0.0,1,1,0,Fully Paid
7779,1200.0,1200.0,0.0,1,1,0,Fully Paid
7710,1200.0,1200.0,0.0,1,1,0,Fully Paid
2403,1200.0,1200.0,0.0,1,1,0,Fully Paid
7570,1200.0,1200.0,0.0,1,1,0,Fully Paid
13685,1200.0,1200.0,0.0,1,1,0,Fully Paid
13562,1200.0,1200.0,0.0,1,1,0,Fully Paid
13384,1200.0,1200.0,0.0,1,1,0,Fully Paid
20031688,1200.0,1200.0,0.0,1,1,0,Fully Paid
20031919,1200.0,0.0,1200.0,1,0,1,Not Paid
20036863,1200.0,1200.0,0.0,1,1,0,Fully Paid
20035644,1200.0,1200.0,0.0,1,1,0,Fully Paid
20037747,1200.0,1200.0,0.0,1,1,0,Fully Paid
20035634,1200.0,1200.0,0.0,1,1,0,Fully Paid
20034694,1200.0,0.0,1200.0,1,0,1,Not Paid
20035124,1200.0,0.0,1200.0,1,0,1,Not Paid
13075,1200.0,1200.0,0.0,1,1,0,Fully Paid
12749,1200.0,1200.0,0.0,1,1,0,Fully Paid
20039119,1200.0,1200.0,0.0,1,1,0,Fully Paid
20038777,1200.0,0.0,1200.0,1,0,1,Not Paid
20682,1200.0,1200.0,0.0,1,1,0,Fully Paid
20522,1200.0,1200.0,0.0,1,1,0,Fully Paid
20708,1200.0,1200.0,0.0,1,1,0,Fully Paid
20039293,1200.0,1200.0,0.0,1,1,0,Fully Paid
13175,1200.0,0.0,1200.0,1,0,1,Not Paid
13128,1200.0,1200.0,0.0,1,1,0,Fully Paid
12917,1200.0,1200.0,0.0,1,1,0,Fully Paid
20037440,1200.0,1200.0,0.0,1,1,0,Fully Paid
20038229,1200.0,1200.0,0.0,1,1,0,Fully Paid
20037697,1200.0,1200.0,0.0,1,1,0,Fully Paid
20038630,1200.0,1200.0,0.0,1,1,0,Fully Paid
20034744,1200.0,1200.0,0.0,1,1,0,Fully Paid
7701,1200.0,1200.0,0.0,1,1,0,Fully Paid
3055,1200.0,1200.0,0.0,1,1,0,Fully Paid
7638,1200.0,1200.0,0.0,1,1,0,Fully Paid
21431,1200.0,1200.0,0.0,1,1,0,Fully Paid
2239,1200.0,0.0,1200.0,1,0,1,Not Paid
22282,1200.0,0.0,1200.0,1,0,1,Not Paid
23248,1200.0,1200.0,0.0,1,1,0,Fully Paid
13396,1200.0,1200.0,0.0,1,1,0,Fully Paid
22093,1200.0,1200.0,0.0,1,1,0,Fully Paid
13687,1200.0,1200.0,0.0,1,1,0,Fully Paid
13682,1200.0,1200.0,0.0,1,1,0,Fully Paid
20026595,1199.02,1199.02,0.0,1,1,0,Fully Paid
20039230,1092.53,1092.53,0.0,1,1,0,Fully Paid
13573,1002.0,1002.0,0.0,1,1,0,Fully Paid
20028394,868.08,868.08,0.0,1,1,0,Fully Paid
7720,857.0,857.0,0.0,1,1,0,Fully Paid
20018702,771.0,771.0,0.0,1,1,0,Fully Paid
20019479,715.0,715.0,0.0,1,1,0,Fully Paid
22577,710.0,710.0,0.0,1,1,0,Fully Paid
20037160,709.0,0.0,709.0,1,0,1,Not Paid
20023510,702.75,702.75,0.0,1,1,0,Fully Paid
24234,610.8,610.8,0.0,1,1,0,Fully Paid
22862,600.0,600.0,0.0,1,1,0,Fully Paid
20016666,600.0,600.0,0.0,1,1,0,Fully Paid
20013918,586.5,586.5,0.0,1,1,0,Fully Paid
20036137,420.9,420.9,0.0,1,1,0,Fully Paid
10528,322.5,322.5,0.0,1,1,0,Fully Paid
20018770,314.5,314.5,0.0,1,1,0,Fully Paid
20032888,30.0,30.0,0.0,1,1,0,Fully Paid
20016534,23.5,23.5,0.0,1,1,0,Fully Paid
20027510,22.58,22.58,0.0,1,1,0,Fully Paid
3264,10.0,10.0,0.0,1,1,0,Fully Paid
