BizID,Total_Payments,Fully_Used,Partially_Used,Unused,Total_Amount,Allocated_Amount,Remaining_Amount
20034561,1,1,0,0,1200.0,1200.0,0.0
20035634,1,1,0,0,1200.0,1200.0,0.0
20037440,1,1,0,0,1200.0,1200.0,0.0
20038101,1,1,0,0,1200.0,1200.0,0.0
20038630,1,1,0,0,1200.0,1200.0,0.0
20039119,1,1,0,0,1200.0,1200.0,0.0
17819,1,1,0,0,1200.01,1200.0,0.009999999999990905
20016660,1,1,0,0,1200.01,1200.0,0.009999999999990905
20030753,1,1,0,0,1200.01,1200.0,0.009999999999990905
20030171,1,1,0,0,1200.01,1200.0,0.009999999999990905
7370,1,1,0,0,1200.01,1200.0,0.009999999999990905
7779,1,1,0,0,1200.01,1200.0,0.009999999999990905
23248,1,1,0,0,1200.01,1200.0,0.009999999999990905
10449,1,1,0,0,1200.02,1200.0,0.01999999999998181
20021897,1,1,0,0,1200.02,1200.0,0.01999999999998181
20034353,1,1,0,0,1200.02,1200.0,0.01999999999998181
20036787,1,1,0,0,2399.99,2400.0,-0.010000000000218279
20001720,1,1,0,0,2400.0,2400.0,0.0
18692,1,0,0,1,364.45,0.0,364.45
6902,2,0,0,2,1029.0,0.0,1029.0
20027510,1,1,0,0,22.57,22.58,-0.00999999999999801
20036137,1,1,0,0,420.92,420.9,0.020000000000038654
24234,1,1,0,0,610.8,610.8,0.0
20023510,1,1,0,0,702.75,702.75,0.0
20026595,1,1,0,0,1199.03,1199.02,0.009999999999990905
20017976,1,1,0,0,1199.98,1200.0,-0.01999999999998181
20522,1,1,0,0,1200.0,1200.0,0.0
7638,1,1,0,0,1200.0,1200.0,0.0
7701,1,1,0,0,1200.0,1200.0,0.0
10471,1,1,0,0,1200.0,1200.0,0.0
11773,1,1,0,0,1200.0,1200.0,0.0
13384,1,1,0,0,1200.0,1200.0,0.0
13682,1,1,0,0,1200.0,1200.0,0.0
13685,1,1,0,0,1200.0,1200.0,0.0
13687,1,1,0,0,1200.0,1200.0,0.0
18002,1,1,0,0,1200.0,1200.0,0.0
20003543,1,1,0,0,1200.0,1200.0,0.0
20004525,1,1,0,0,1200.0,1200.0,0.0
20004791,1,1,0,0,1200.0,1200.0,0.0
20004934,1,1,0,0,1200.0,1200.0,0.0
20005133,1,1,0,0,1200.0,1200.0,0.0
20006820,1,1,0,0,1200.0,1200.0,0.0
20009083,1,1,0,0,1200.0,1200.0,0.0
20011353,1,1,0,0,1200.0,1200.0,0.0
20011690,1,1,0,0,1200.0,1200.0,0.0
20012557,1,1,0,0,1200.0,1200.0,0.0
20016563,1,1,0,0,1200.0,1200.0,0.0
20017223,1,1,0,0,1200.0,1200.0,0.0
20018092,1,1,0,0,1200.0,1200.0,0.0
20019128,1,1,0,0,1200.0,1200.0,0.0
20019297,1,1,0,0,1200.0,1200.0,0.0
20019327,1,1,0,0,1200.0,1200.0,0.0
20019945,1,1,0,0,1200.0,1200.0,0.0
20023705,1,1,0,0,1200.0,1200.0,0.0
20026602,1,1,0,0,1200.0,1200.0,0.0
20028140,1,1,0,0,1200.0,1200.0,0.0
20033785,1,1,0,0,1200.0,1200.0,0.0
20037697,1,1,0,0,1200.0,1200.0,0.0
20002540,1,1,0,0,1200.01,1200.0,0.009999999999990905
20023720,1,1,0,0,1200.01,1200.0,0.009999999999990905
20022871,1,1,0,0,1200.01,1200.0,0.009999999999990905
20002919,1,1,0,0,2399.99,2400.0,-0.010000000000218279
20033210,1,1,0,0,2400.0,2400.0,0.0
20036404,1,1,0,0,2400.0,2400.0,0.0
