ReconDate,BizID,Amount
30/11/2025,2159,1200.0
31/12/2025,2159,1200.0
30/11/2025,20029470,1200.0
31/12/2025,20029470,1200.0
30/04/2025,20028485,1200.0
31/05/2025,20028485,1200.0
30/06/2025,20028485,1200.0
31/07/2025,20028485,1200.0
31/08/2025,20006909,1200.0
31/08/2025,20028485,1200.0
30/09/2025,20006909,1200.0
30/09/2025,20028485,1200.0
31/10/2025,20001893,1200.0
31/10/2025,20006909,1200.0
31/10/2025,20028485,1200.0
31/10/2025,20026101,1200.0
31/10/2025,20038098,1200.0
30/11/2025,2015,1200.0
30/11/2025,20001893,1200.0
30/11/2025,20006909,1200.0
30/11/2025,20026101,1200.0
30/11/2025,20028485,1200.0
30/11/2025,20038098,1200.0
30/11/2025,20002827,1200.0
30/11/2025,20009083,1200.0
30/11/2025,20015343,1200.0
30/11/2025,20028522,1200.0
30/11/2025,20034829,1200.0
30/11/2025,20003479,1200.0
30/11/2025,20016043,600.0
31/12/2025,16065,2925.0
31/12/2025,20013986,2400.0
31/12/2025,20025245,2400.0
31/12/2025,2015,1200.0
31/12/2025,2931,1200.0
31/12/2025,3528,1200.0
31/12/2025,10276,1200.0
31/12/2025,10341,1200.0
31/12/2025,12484,1200.0
31/12/2025,13162,1200.0
31/12/2025,24038,1200.0
31/12/2025,20001893,1200.0
31/12/2025,20003479,1200.0
31/12/2025,20006310,1200.0
31/12/2025,20006909,1200.0
31/12/2025,20015149,1200.0
31/12/2025,20019530,1200.0
31/12/2025,20022037,1200.0
31/12/2025,20023605,1200.0
31/12/2025,20024710,1200.0
31/12/2025,20026101,1200.0
31/12/2025,20028485,1200.0
31/12/2025,20034829,1200.0
31/12/2025,20036404,1200.0
31/12/2025,20038098,1200.0
31/12/2025,20038171,1200.0
31/12/2025,19239,600.0
31/12/2025,20016043,600.0
31/12/2025,18331,561.7
31/12/2025,7547,1200.0
31/12/2025,20001757,1200.0
31/12/2025,20009958,2400.0
31/12/2025,20019327,1200.0
31/12/2025,20019480,1200.0
31/12/2025,20022909,1200.0
31/12/2025,20028132,1200.0
31/12/2025,20034353,1200.0
31/12/2025,20034561,1200.0
31/12/2025,20036208,1200.0
31/12/2025,20036787,2400.0
31/12/2025,20038101,1200.0
31/12/2025,2162,1200.0
31/12/2025,4450,1200.0
31/12/2025,10310,1200.0
31/12/2025,21979,1200.0
31/12/2025,20012026,1200.0
31/12/2025,20017223,1200.0
30/11/2025,20017526,1200.0
31/12/2025,20023111,1200.0
31/12/2025,20023705,1200.0
31/12/2025,20026274,1200.0
31/01/2026,20011890,4800.0
31/01/2026,20001720,2400.0
31/01/2026,20002919,2400.0
31/01/2026,20003547,2400.0
31/01/2026,20003790,2400.0
31/01/2026,20009958,2400.0
31/01/2026,20013986,2400.0
31/01/2026,20014817,2400.0
31/01/2026,20017395,2400.0
31/01/2026,20018760,2400.0
31/01/2026,20025245,2400.0
31/01/2026,20028302,2400.0
31/01/2026,20032218,2400.0
31/01/2026,20033210,2400.0
31/01/2026,20034654,2400.0
31/01/2026,20036787,2400.0
31/01/2026,2172,1620.0
31/01/2026,2015,1200.0
31/01/2026,2159,1200.0
31/01/2026,2162,1200.0
31/01/2026,2239,1200.0
31/01/2026,2403,1200.0
31/01/2026,2931,1200.0
31/01/2026,3055,1200.0
31/01/2026,3528,1200.0
31/01/2026,3996,1200.0
31/01/2026,4413,1200.0
31/01/2026,4450,1200.0
31/01/2026,4888,1200.0
31/01/2026,5537,1200.0
31/01/2026,5991,1200.0
31/01/2026,6902,1200.0
31/01/2026,7370,1200.0
31/01/2026,7371,1200.0
31/01/2026,7422,1200.0
31/01/2026,7423,1200.0
31/01/2026,7535,1200.0
31/01/2026,7554,1200.0
31/01/2026,7570,1200.0
31/01/2026,7638,1200.0
31/01/2026,7701,1200.0
31/01/2026,7710,1200.0
31/01/2026,7779,1200.0
31/01/2026,7814,1200.0
31/01/2026,9573,1200.0
31/01/2026,9835,1200.0
31/01/2026,10201,1200.0
31/01/2026,10276,1200.0
31/01/2026,10310,1200.0
31/01/2026,10341,1200.0
31/01/2026,10449,1200.0
31/01/2026,10471,1200.0
31/01/2026,10935,1200.0
