ReconDate,BizID,Amount,PremiumID,AllocatedAmount,PaymentIDs_Used,Status,Shortfall
2026-01-31,20035124,1200.0,PREM_00302,0.0,,Unpaid,1200.0
2026-01-31,20036208,1200.0,PREM_00305,0.0,,Unpaid,1200.0
2026-01-31,20038098,1200.0,PREM_00311,0.0,,Unpaid,1200.0
2026-01-31,20038101,1200.0,PREM_00312,0.0,,Unpaid,1200.0
2026-01-31,20038171,1200.0,PREM_00313,0.0,,Unpaid,1200.0
2026-01-31,20038777,1200.0,PREM_00316,0.0,,Unpaid,1200.0
2026-01-31,7547,956.25,PREM_00322,0.0,,Unpaid,956.25
2026-01-31,20037160,709.0,PREM_00328,0.0,,Unpaid,709.0
2026-01-31,19239,600.0,PREM_00331,0.0,,Unpaid,600.0
2026-01-31,20016043,600.0,PREM_00333,0.0,,Unpaid,600.0
